"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA"
"XONE112192";"X-One TPU X-Line BQ E5 4G Azul";"AATFYC0809";"8435484112192";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;5;0,1000000000;"";"Novedad";"0,0000000000"
"XONE112208";"X-One TPU X-Line BQ E5 4G Negro";"AATFYC0810";"8435484112208";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,04;5;0,1000000000;"";"Novedad";"0,0000000000"
"XONE112796";"X-One Card Cover Samsung Core Prime Azul";"AATFYC0811";"8435484112796";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;9;0,1000000000;"";"Novedad";"0,0000000000"
"XONE112802";"X-One Card Cover Samsung Core Prime Negro";"AATFYC0812";"8435484112802";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;21;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113212";"X-One TPU X-Line Samsung Grand Prime Transparente";"AATFYC0813";"8435484113212";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,04;42;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113328";"X-One Card Cover Samsung S6 Negro";"AATFYC0814";"8435484113328";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,72;0;0,1000000000;"";"Proximamente";"0,0000000000"
"XONE113472";"X-One Card Cover Samsung S6 Edge Negro";"AATFYC0815";"8435484113472";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;5;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113526";"X-One Card Cover Samsung S6 Azul";"AATFYC0816";"8435484113526";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113564";"X-One TPU X-Line Samsung Grand Prime Azul";"AATFYC0817";"8435484113564";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;19;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113625";"X-One TPU X-Line BQ E5 4G Rosa";"AATFYC0818";"8435484113625";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,04;20;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113946";"X-One TPU X-Line Samsung S6 Rosa";"AATFYC0819";"8435484113946";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;12;0,1000000000;"";"Novedad";"0,0000000000"
"XONE113991";"X-One Card Cover LG Leon Negro";"AATFYC0820";"8435484113991";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;17;0,1000000000;"";"Novedad";"0,0000000000"
"XONE114103";"X-One Card Cover Huawei Y635 Rosa";"AATFYC0821";"8435484114103";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE114578";"X-One TPU X-Line Samsung S6 Azul";"AATFYC0822";"8435484114578";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;13;0,1000000000;"";"Novedad";"0,0000000000"
"XONE114745";"X-One Carcasa Aluminio Samsung S6 Rosa";"AATFYC0823";"8435484114745";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";4,10;18;0,1000000000;"";"Novedad";"0,0000000000"
"XONE114769";"X-One Carcasa Aluminio Samsung S6 Dorado";"AATFYC0824";"8435484114769";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";4,10;1;0,1000000000;"";"Novedad";"0,0000000000"
"XONE114967";"X-One Card Cover Huawei P8 Lite Rosa";"AATFYC0825";"8435484114967";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,72;23;0,1000000000;"";"Novedad";"0,0000000000"
"XONE115193";"X-One Carcasa Aluminio Samsung Grand Prime Platead";"AATFYC0826";"8435484115193";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";4,10;5;0,1000000000;"";"Novedad";"0,0000000000"
"XONE115223";"X-One TPU Fino Huawei P8 Lite Transparente";"AATFYC0827";"8435484115223";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,55;0;0,1000000000;"";"Proximamente";"0,0000000000"
"XONE115346";"X-One TPU X-Line ZTE Blade L3 Azul";"AATFYC0828";"8435484115346";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;14;0,1000000000;"";"Novedad";"0,0000000000"
